1	2
1	3
1	4
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	33
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	26
2	27
2	28
2	29
2	30
2	46
2	47
3	10
3	11
3	12
3	13
3	14
3	15
3	16
3	17
3	18
3	19
3	26
3	27
3	28
3	29
3	30
3	46
3	47
4	10
4	11
4	12
4	13
4	14
4	15
4	16
4	17
4	18
4	19
4	26
4	27
4	28
4	29
4	30
4	38
4	39
6	10
6	11
6	12
6	13
6	14
6	15
6	16
6	17
6	18
6	19
6	26
6	27
6	28
6	29
6	30
6	40
6	41
6	50
6	51
6	52
5	53
5	54
5	55
5	10
5	11
5	12
5	13
5	14
5	15
5	16
5	17
5	18
5	19
5	26
5	27
5	28
5	29
5	30
